# descriptor	kind	name	implementation	url_pattern	configured_security	traffic_class	behavioral_gate	owner
serverApps/src/etc/WEB-INF/web.xml	servlet	WLocation	org.compiere.www.WLocation	/WLocation	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/etc/WEB-INF/web.xml	servlet	WLogin	org.compiere.www.WLogin	/WLogin	false	anonymous/public	phase5-non-soap	phase5
serverApps/src/etc/WEB-INF/web.xml	servlet	WLookup	org.compiere.www.WLookup	/WLookup	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/etc/WEB-INF/web.xml	servlet	WMenu	org.compiere.www.WMenu	/WMenu	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/etc/WEB-INF/web.xml	servlet	WProcess	org.compiere.www.WProcess	/WProcess	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/etc/WEB-INF/web.xml	servlet	WReport	org.compiere.www.WReport	/WReport	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/etc/WEB-INF/web.xml	servlet	WRequest	org.compiere.wstore.WRequest	/WRequest	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/etc/WEB-INF/web.xml	servlet	WStart	org.compiere.www.WStart	/WStart	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/etc/WEB-INF/web.xml	servlet	WStatus	org.compiere.www.WStatus	/WStatus	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/etc/WEB-INF/web.xml	servlet	WTask	org.compiere.www.WTask	/WTask	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/etc/WEB-INF/web.xml	servlet	WWindow	org.compiere.www.WWindow	/WWindow	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/etc/WEB-INF/web.xml	servlet	WWorkflow	org.compiere.www.WWorkflow	/WWorkflow	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WAccount	org.compiere.www.WAccount	/WAccount	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WFieldUpdate	org.compiere.www.WFieldUpdate	/WFieldUpdate	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WLocation	org.compiere.www.WLocation	/WLocation	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WLogin	org.compiere.www.WLogin	/WLogin	false	anonymous/public	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WLookup	org.compiere.www.WLookup	/WLookup	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WMenu	org.compiere.www.WMenu	/WMenu	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WProcess	org.compiere.www.WProcess	/WProcess	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WReport	org.compiere.www.WReport	/WReport	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WChat	org.compiere.www.WChat	/WChat	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WValuePreference	org.compiere.www.WValuePreference	/WValuePreference	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WZoom	org.compiere.www.WZoom	/WZoom	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WHelp	org.compiere.www.WHelp	/WHelp	false	anonymous/public	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WAttachment	org.compiere.www.WAttachment	/WAttachment	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WRequest	org.compiere.wstore.RequestServlet	/WRequest	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WStart	org.compiere.www.WStart	/WStart	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WStatus	org.compiere.www.WStatus	/WStatus	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WTask	org.compiere.www.WTask	/WTask	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WWindow	org.compiere.www.WWindow	/WWindow	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WWorkflow	org.compiere.www.WWorkflow	/WWorkflow	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	servlet	WFindAdv	org.compiere.www.WFindAdv	/WFindAdv	false	end-user-authenticated	phase5-non-soap	phase5
serverApps/src/web/WEB-INF/web.xml	filter	WFilter	org.compiere.www.WFilter	/*	false	end-user-authenticated	phase5-non-soap	phase5
serverRoot/src/web/WEB-INF/web.xml	servlet	JnlpDownloadServlet	jnlp.sample.servlet.JnlpDownloadServlet	*.jnlp	false	anonymous/public	phase5-non-soap	phase5
serverRoot/src/web/WEB-INF/web.xml	servlet	StatusInfo	org.compiere.web.StatusInfo	/statusInfo	false	infrastructure	phase5-non-soap	phase5
serverRoot/src/web/WEB-INF/web.xml	servlet	AdempiereMonitor	org.compiere.web.AdempiereMonitor	/adempiereMonitor/*	false	infrastructure	phase5-non-soap	phase5
serverRoot/src/web/WEB-INF/web.xml	filter	AdempiereMonitorFilter	org.compiere.web.AdempiereMonitorFilter	/adempiereMonitor/*	false	infrastructure	phase5-non-soap	phase5
webCM/src/web/WEB-INF/web.xml	servlet	AdRedirector	org.compiere.cm.AdRedirector	/AdRedirector	false	anonymous/public	phase5-non-soap	phase5
webCM/src/web/WEB-INF/web.xml	servlet	XMLBroadcast	org.compiere.cm.XMLBroadcast	/xml/*	false	anonymous/public	phase5-non-soap	phase5
webCM/src/web/WEB-INF/web.xml	servlet	StageBroadcast	org.compiere.cm.StageBroadcast	/stage/*	false	anonymous/public	phase5-non-soap	phase5
webCM/src/web/WEB-INF/web.xml	servlet	CacheService	org.compiere.cm.cache.Service	/cache/*	false	anonymous/public	phase5-non-soap	phase5
webCM/src/web/WEB-INF/web.xml	servlet	Community	org.compiere.cm.Community	/communityServlet	false	anonymous/public	phase5-non-soap	phase5
webCM/src/web/WEB-INF/web.xml	servlet	RequestServlet	org.compiere.cm.RequestServlet	/requestServlet	false	anonymous/public	phase5-non-soap	phase5
webCM/src/web/WEB-INF/web.xml	servlet	MediaBroadcast	org.compiere.cm.MediaBroadcast	/media/*	false	anonymous/public	phase5-non-soap	phase5
webCM/src/web/WEB-INF/web.xml	servlet	Broadcast	org.compiere.cm.Broadcast	/	false	anonymous/public	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	AdvertisementServlet	org.compiere.wstore.AdvertisementServlet	/advertisementServlet/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	AssetServlet	org.compiere.wstore.AssetServlet	/assetServlet/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	BasketServlet	org.compiere.wstore.BasketServlet	/basketServlet	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	CheckOutServlet	org.compiere.wstore.CheckOutServlet	/checkOutServlet	true	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	Click	org.compiere.wstore.Click	/click/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	ExpenseServlet	org.compiere.wstore.ExpenseServlet	/expenseServlet	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	Counter	org.compiere.wstore.Counter	/counter/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	InfoServlet	org.compiere.wstore.InfoServlet	/infoServlet	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	InvoiceServlet	org.compiere.wstore.InvoiceServlet	/invoiceServlet/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	LocationServlet	org.compiere.wstore.LocationServlet	/locationServlet	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	LoginServlet	org.compiere.wstore.LoginServlet	/loginServlet	true	anonymous/public	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	NoteServlet	org.compiere.wstore.NoteServlet	/noteServlet/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	OrderServlet	org.compiere.wstore.OrderServlet	/orderServlet	true	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	PaymentServlet	org.compiere.wstore.PaymentServlet	/paymentServlet	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	ProductServlet	org.compiere.wstore.ProductServlet	/productServlet/*	false	anonymous/public	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	RegistrationServlet	org.compiere.wstore.RegistrationServlet	/registrationServlet	false	anonymous/public	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	RequestServlet	org.compiere.wstore.RequestServlet	/requestServlet/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	RfQServlet	org.compiere.wstore.RfQServlet	/rfqServlet/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	SearchServlet	org.compiere.wstore.SearchServlet	/searchServlet	false	anonymous/public	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	UpdateServlet	org.compiere.wstore.UpdateServlet	/updateServlet	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	WorkflowServlet	org.compiere.wstore.WorkflowServlet	/workflowServlet/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	Index		/index.jsp/*	false	anonymous/public	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	Basket		/basket.jsp/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	Login		/login.jsp/*	false	anonymous/public	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	Request		/request.jsp/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	Info		/info.jsp	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	EMailServlet	org.compiere.wstore.EMailServlet	/emailServlet/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	servlet	IssueReportServlet	org.compiere.wstore.IssueReportServlet	/issueReportServlet/*	false	end-user-authenticated	phase5-non-soap	phase5
webStore/src/web/WEB-INF/web.xml	filter	WebStoreFilter	org.compiere.wstore.StoreFilter	/*	false	end-user-authenticated	phase5-non-soap	phase5
zkwebui/WEB-INF/web.xml	servlet	dspLoader	org.zkoss.web.servlet.dsp.InterpreterServlet	*.dsp	false	end-user-authenticated	phase5-non-soap	phase5
zkwebui/WEB-INF/web.xml	servlet	zkLoader	org.adempiere.webui.session.WebUIServlet	*.zul	false	end-user-authenticated	phase5-non-soap	phase5
zkwebui/WEB-INF/web.xml	servlet	zkLoader	org.adempiere.webui.session.WebUIServlet	*.zhtml	false	end-user-authenticated	phase5-non-soap	phase5
zkwebui/WEB-INF/web.xml	servlet	auEngine	org.zkoss.zk.au.http.DHtmlUpdateServlet	/zkau/*	false	end-user-authenticated	phase5-non-soap	phase5
zkwebui/WEB-INF/web.xml	servlet	timelineFeed	org.adempiere.webui.TimelineEventFeed	/timeline	false	end-user-authenticated	phase5-non-soap	phase5
zkwebui/WEB-INF/web.xml	filter	requestFilter	org.adempiere.webui.session.SessionTimeoutFilter	/*	false	end-user-authenticated	phase5-non-soap	phase5
# callback/webhook	none found; adding one requires an explicit route rule and behavioral gate
