# path	owner	reference_count	api_families	compile_gate	behavior_gate	disposition
org.spin.loan_management/src/main/java/ui/zk/org/spin/investment/form/WLoanSimulator.java	org.spin.loan_management	8	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/AdempiereIdGenerator.java	zkwebui	5	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/AdempiereWebUI.java	zkwebui	18	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/IWebClient.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/LayoutUtils.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/SahiIdGenerator.java	zkwebui	5	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/SahiIdGenerator_v1.java	zkwebui	5	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/TimelineEventFeed.java	zkwebui	2	other	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/ValuePreference.java	zkwebui	7	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/WArchive.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/WLogin.java	zkwebui	14	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/WRequest.java	zkwebui	7	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/WSearch.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/WZoomAcross.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/acct/WAcctViewer.java	zkwebui	15	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/AEnv.java	zkwebui	5	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/BusyDialog.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/DesktopRunnable.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/ProcessPanel.java	zkwebui	12	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/WReport.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WAllocation.java	zkwebui	10	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WArchiveViewer.java	zkwebui	5	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WAttributeGrid.java	zkwebui	4	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WBOMDrop.java	zkwebui	13	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WCharge.java	zkwebui	9	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WCreateFromInvoiceUI.java	zkwebui	5	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WCreateFromPanel.java	zkwebui	7	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WCreateFromRMAUI.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WCreateFromShipmentUI.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WCreateFromStatementUI.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WCreateFromWindow.java	zkwebui	7	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WDeleteEntity.java	zkwebui	17	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WFactReconcile.java	zkwebui	9	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WFileImport.java	zkwebui	12	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WGenForm.java	zkwebui	11	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WInOutGen.java	zkwebui	4	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WInvoiceGen.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WInvoiceGenFromShipment.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WMatch.java	zkwebui	9	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WMerge.java	zkwebui	7	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WPayPrint.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/apps/form/WPaySelect.java	zkwebui	11	ce-core	5d	5g	migrate-source
