# path	specification_version	sha512	disposition	closing_gate
zkwebui/WEB-INF/lib/zcommon.jar	3.6.3	a077de2081e488199a750a1a8716a5a9581bd7f1b768ff462b39d1920fc690e5168f91877710d5e00fd474f9a3afcaaabe5c65e8a8fc718eb97d559c302a4b15	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zcommons-el.jar	1.0	560667b8a921da16f2be9da2f32877707304cdfead03cd518291e13eea07dfd8828088f0efe88c4dc37b11e3fa92411fe790a6e8e2731887ff2724b2785319c6	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zhtml-sources.jar	unknown	4eed51dcb23f0f250f2acdb9ef32fbe432a15c10b3c9421bc25f2106b59629c2bda8a016c4fe11e00b5ce570f0d265515eee82cbaec8a7bf10a7d9cf8124cc9e	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zhtml.jar	3.6.3	eb953f8924bba40a68bbf3cf6a6312b0534603b16adf518b3b905d2cbb675c9653f8334c534d4d00e6b94e076f1aac7e167a121cdb0a8b8d1b9821348013e3e7	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zk-sources.jar	unknown	392b2e629606291df02b17658ccb84c0249545bc571facbb2a19f82b822f1030c15643f7f1b2150b5dbf1921c2d688d5c33fbe40ad058f6e0cafb932a61fc60f	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zk.jar	3.6.3	d7bfab5e9034915f5b7b815e64b1893666aabaa51ecdfc1a0a38493127b7c4e5231f167c8e8727f8eea2cc5c7cb600bde7677ab3e9b0c4f57711b257198f42d4	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zkex-sources.jar	unknown	f413bffeed59e1349620900bdea880d0f4b395ff740887bd4d0c99fba5a69a06e5f6f233afca385958754dce0df93045e45c9941877f92adb7b2ead7a79d7554	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zkex.jar	3.6.3	e2af0755980ec641d08787e9a2511ad13f2628b9ebe8bc405649a2b151eaf22401abc9b0277a5ec5b8e5c345007da946769e2663f5afd33ebf1630104a6e26ae	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zkmax-sources.jar	unknown	6e2bb11dd1b7b9639924aae38c0ecf8c0ba824fc375f448e2a3f245fed61d28a5b3f62f3301906a30ff7d2fa69dc9eba7f23f7ff13abbba2d17e09ff9e655a44	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zkmax.jar	3.6.3	ab2f3bdfc8d1db097ebd366358f9f8592f5a87b9cf7493abd2e8a3f88812e2136a55fa34e4cbc665d19bd5d41b73d8b4eba26457388602b16533bcf7d52ef0f9	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zkplus-sources.jar	unknown	b5513b3a26ff354c6b89c0873860a54612088c9f63822f796dca57d32fb5aab09cc224d54c6f177f584ec28ab1a20b916ffeaee9378beb404fce21c27057f5ad	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zkplus.jar	3.6.3	c28f5635098cc5699003e0f31053cfa2d2981fd753551bc6d072e3d6410721c929e363c190deed0f3e0e9d57c264bb4dabbb997743629959266c612b739bd7eb	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zml-sources.jar	unknown	a2fd8b096a572bc95003028d7bb4bf2d00b60ac4c5ae3430f9b22e54cdcadbee6b3ca42db78dbbf7f7528d706b6ffc22ec89c7ab114954dbc5d72b85e7ebcc3c	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zml.jar	3.6.3	3e99147186a5fd43a3b05e833dd799fa90e600d5ea8271b0bbb4b68b51531b77a709604e8a3689b83dffb0d6fc2ecd7b8edcc4a387ac1da831e0a1d83494e6df	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zul-sources.jar	unknown	070bbf97329da57bc91f90f4a7958796f41089fced6816a06f76c965508babdc6eda121eabd013726bc8e713a64514876071e192dec860743d13617e36ba4e7c	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zul.jar	3.6.3	2f39facc73cc1115c7043284701d843f19f03c761565f8b2d05412d0e3693d5b6ee3c54498ed79385c756cc4c6fba3ff92e7943468242a06f0806b8090fd75c9	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zweb-sources.jar	unknown	6e5744e5aed6251129f8eebc2f9007810f92a16aa9bfdaeb4b5ed50907395524da6536a8ae03d69e89248f0cc6a93f8f7387d8dae318ddb2365d6a1005f7e370	replace-or-provenance-review	5d
zkwebui/WEB-INF/lib/zweb.jar	3.6.3	ee4525bcb8b632fe9a8c348ae2faf1482bd51d3ffc0cef3faff2f38546de395c3b54bb2ba7be26fb9bc9a0ee8b6859f98d3b141f20eea12d249fbc758fb77c51	replace-or-provenance-review	5d
