flow	step	method	path	request_shape	http_status	content_type	charset	location_header	set_cookie_shape	dtid_present	au_command_sequence	body_digest	disposition
webui	1	GET	/webui/	none	200	text/html	UTF-8	none	JSESSIONID[httponly,path]	yes		f898d4487f6f74c0e6114616e0fcc13c795f6f471a3a9e21513572934ac44f3a	bootstrap
webui	2	POST	/webui/zkau	onClientInfo(8 pinned values)	200	text/xml	UTF-8	none	none	yes		94b7f6cc06f99d9dad64400e66fdaef3dd7b3646b78ba7974d36155c0e56b81c	clientinfo
webui	3	POST	/webui/zkau	onChange(userid)	200	text/xml	UTF-8	none	none	yes		9f3f5343bc2c829e637d5f0ce2a8258b967d62633f95df416be4cacb955db1b1	userid
webui	4	POST	/webui/zkau	onChange(password)	200	text/xml	UTF-8	none	none	yes		7a42290e7ccc601f1b2f231a04efccffd6eaccff019e0e3d3db2c49096035f77	password
webui	5	POST	/webui/zkau	onClick(login-ok)	200	text/xml	UTF-8	none	none	yes	rm,addChd,focus,script,script	0ec935d3ef33921b4898086994a45e05adb9787f85bf198ca1ca68ff0e65fc28	rolescreen
webui	6	POST	/webui/zkau	onClick(role-ok)	200	text/xml	UTF-8	none	none	yes	rm,addAft,addAft,script,script	68bb9a4a9d80952f7500545234a5d843b32357ccde6dc052a879beecf30a94e8	desktop
webui	7	POST	/webui/zkau	onClick(menu-row:Error_Message)	200	text/xml	UTF-8	none	none	yes	addAft,addAft,addAft,scrollIntoView,script,focus,setAttr,setAttr,setAttr	29e9de6808f02629c80e4b345e70d2cbe4998d4cfc002f91ad670118ab845509	window
webui	8	POST	/webui/zkau	onClick(logout)	200	text/xml	UTF-8	none	none	yes	rm,setAttr,redirect	85d4bd5385258d65981283e3af053579fea9fdb8b064cd9ca36bbbb09a43de25	logout
