route_id	context	method	path	body_shape	expected_status	proof_strength	notes
/wstore::AssetServlet::/assetServlet/*	/wstore	GET	/wstore/assetServlet/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::Basket::/basket.jsp/*	/wstore	GET	/wstore/basket.jsp/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::BasketServlet::/basketServlet	/wstore	GET	/wstore/basketServlet	none	200	exact-servlet-dispatch	none
/wstore::CheckOutServlet::/checkOutServlet	/wstore	GET	/wstore/checkOutServlet	none	302	exact-servlet-dispatch	none
/wstore::Click::/click/*	/wstore	GET	/wstore/click/	none	302	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::Counter::/counter/*	/wstore	GET	/wstore/counter/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::EMailServlet::/emailServlet/*	/wstore	GET	/wstore/emailServlet/	none	302	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::ExpenseServlet::/expenseServlet	/wstore	GET	/wstore/expenseServlet	none	302	exact-servlet-dispatch	none
/wstore::Index::/index.jsp/*	/wstore	GET	/wstore/index.jsp/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::Info::/info.jsp	/wstore	GET	/wstore/info.jsp	none	302	exact-servlet-dispatch	none
/wstore::InfoServlet::/infoServlet	/wstore	GET	/wstore/infoServlet	none	302	exact-servlet-dispatch	none
/wstore::InvoiceServlet::/invoiceServlet/*	/wstore	GET	/wstore/invoiceServlet/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::IssueReportServlet::/issueReportServlet/*	/wstore	GET	/wstore/issueReportServlet/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::LocationServlet::/locationServlet	/wstore	GET	/wstore/locationServlet	none	200	exact-servlet-dispatch	none
/wstore::Login::/login.jsp/*	/wstore	GET	/wstore/login.jsp/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::LoginServlet::/loginServlet	/wstore	GET	/wstore/loginServlet	none	302	exact-servlet-dispatch	none
/wstore::NoteServlet::/noteServlet/*	/wstore	GET	/wstore/noteServlet/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::OrderServlet::/orderServlet	/wstore	GET	/wstore/orderServlet	none	302	exact-servlet-dispatch	none
/wstore::PaymentServlet::/paymentServlet	/wstore	GET	/wstore/paymentServlet	none	500	exact-servlet-dispatch	none
/wstore::ProductServlet::/productServlet/*	/wstore	GET	/wstore/productServlet/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::RegistrationServlet::/registrationServlet	/wstore	GET	/wstore/registrationServlet	none	302	exact-servlet-dispatch	none
/wstore::Request::/request.jsp/*	/wstore	GET	/wstore/request.jsp/	none	302	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::RequestServlet::/requestServlet/*	/wstore	GET	/wstore/requestServlet/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::RfQServlet::/rfqServlet/*	/wstore	GET	/wstore/rfqServlet/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
/wstore::SearchServlet::/searchServlet	/wstore	GET	/wstore/searchServlet	none	200	exact-servlet-dispatch	none
/wstore::UpdateServlet::/updateServlet	/wstore	GET	/wstore/updateServlet	none	200	exact-servlet-dispatch	none
/wstore::WebStoreFilter::/*	/wstore	GET	/wstore/	none	200	context-reachability-only	filter-covered-via-context-routes
/wstore::WorkflowServlet::/workflowServlet/*	/wstore	GET	/wstore/workflowServlet/	none	200	exact-servlet-dispatch	path-prefix-mapping-probed-at-prefix-root
