# service	operation	namespace	request_message	request_parts	response_message	response_parts	soap_action	endpoint	url_forms	http_method	content_type	charset	scope	mutability	authentication	traffic_class	phase4_gate
ADService	saveDataRow	http://3e.pl/ADInterface	saveDataRowRequest	in0:xsd:int,in1:xsd:int,in2:xsd:int,WindowTabData:tns:WindowTabData	saveDataRowResponse	WindowTabData:tns:WindowTabData		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	mutating	session-login	service-to-service	phase4-soap
ADService	updateDataRow	http://3e.pl/ADInterface	updateDataRowRequest	in0:xsd:int,in1:xsd:int,in2:xsd:int,WindowTabData:tns:WindowTabData	updateDataRowResponse	WindowTabData:tns:WindowTabData		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	mutating	session-login	service-to-service	phase4-soap
ADService	getProcessParams	http://3e.pl/ADInterface	getProcessParamsRequest	GetProcessParams:tns:GetProcessParams	getProcessParamsResponse	ProcessParams:tns:ProcessParams		http://127.0.0.1:8888/ADInterface/services/ADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	session	read-only	session-login	service-to-service	phase4-soap
ExternalSales	getProductsPlusCatalog	http://externalSales.ws.erpCommon.openbravo.org	getProductsPlusCatalogRequest	in0:xsd:int,in1:xsd:int,in2:xsd:int,in3:xsd:string,in4:xsd:string	getProductsPlusCatalogResponse	ProductsPlusCatalogResponse:tns:ProductsPlusCatalogResponse		http://127.0.0.1:8888/ADInterface/services/ExternalSales	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	read-only	request-body-credentials	service-to-service	phase4-soap
ExternalSales	getProductsCatalog	http://externalSales.ws.erpCommon.openbravo.org	getProductsCatalogRequest	in0:xsd:int,in1:xsd:int,in2:xsd:int,in3:xsd:string,in4:xsd:string	getProductsCatalogResponse	ProductsCatalogResponse:tns:ProductsCatalogResponse		http://127.0.0.1:8888/ADInterface/services/ExternalSales	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	read-only	request-body-credentials	service-to-service	phase4-soap
ExternalSales	uploadOrders	http://externalSales.ws.erpCommon.openbravo.org	uploadOrdersRequest	in0:xsd:int,in1:xsd:int,in2:xsd:int,ArrayOf_tns1_Order:tns:ArrayOf_tns1_Order,in4:xsd:string,in5:xsd:string	uploadOrdersResponse	UploadOrdersResponse:tns:UploadOrdersResponse		http://127.0.0.1:8888/ADInterface/services/ExternalSales	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	mutating	request-body-credentials	service-to-service	phase4-soap
ModelADService	setDocAction	http://3e.pl/ADInterface	setDocActionRequest	ModelSetDocActionRequest:tns:ModelSetDocActionRequest	setDocActionResponse	StandardResponse:tns:StandardResponse		http://127.0.0.1:8888/ADInterface/services/ModelADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	mutating	request-body-credentials	service-to-service	phase4-soap
ModelADService	createData	http://3e.pl/ADInterface	createDataRequest	ModelCRUDRequest:tns:ModelCRUDRequest	createDataResponse	StandardResponse:tns:StandardResponse		http://127.0.0.1:8888/ADInterface/services/ModelADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	mutating	request-body-credentials	service-to-service	phase4-soap
ModelADService	deleteData	http://3e.pl/ADInterface	deleteDataRequest	ModelCRUDRequest:tns:ModelCRUDRequest	deleteDataResponse	StandardResponse:tns:StandardResponse		http://127.0.0.1:8888/ADInterface/services/ModelADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	mutating	request-body-credentials	service-to-service	phase4-soap
ModelADService	readData	http://3e.pl/ADInterface	readDataRequest	ModelCRUDRequest:tns:ModelCRUDRequest	readDataResponse	WindowTabData:tns:WindowTabData		http://127.0.0.1:8888/ADInterface/services/ModelADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	read-only	request-body-credentials	service-to-service	phase4-soap
ModelADService	getList	http://3e.pl/ADInterface	getListRequest	ModelGetListRequest:tns:ModelGetListRequest	getListResponse	WindowTabData:tns:WindowTabData		http://127.0.0.1:8888/ADInterface/services/ModelADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	read-only	request-body-credentials	service-to-service	phase4-soap
ModelADService	runProcess	http://3e.pl/ADInterface	runProcessRequest	ModelRunProcessRequest:tns:ModelRunProcessRequest	runProcessResponse	RunProcessResponse:tns:RunProcessResponse		http://127.0.0.1:8888/ADInterface/services/ModelADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	mutating	request-body-credentials	service-to-service	phase4-soap
ModelADService	updateData	http://3e.pl/ADInterface	updateDataRequest	ModelCRUDRequest:tns:ModelCRUDRequest	updateDataResponse	StandardResponse:tns:StandardResponse		http://127.0.0.1:8888/ADInterface/services/ModelADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	mutating	request-body-credentials	service-to-service	phase4-soap
ModelADService	queryData	http://3e.pl/ADInterface	queryDataRequest	ModelCRUDRequest:tns:ModelCRUDRequest	queryDataResponse	WindowTabData:tns:WindowTabData		http://127.0.0.1:8888/ADInterface/services/ModelADService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	read-only	request-body-credentials	service-to-service	phase4-soap
WebService	getCustomers	http://externalSales.ws.erpCommon.openbravo.org	getCustomersRequest	in0:xsd:int,in1:xsd:string,in2:xsd:string	getCustomersResponse	GetCustomersResponse:tns:GetCustomersResponse		http://127.0.0.1:8888/ADInterface/services/WebService	/ADInterface/services/*,/ADInterface/servlet/XFireServlet/*	POST	text/xml	UTF-8	request	read-only	request-body-credentials	service-to-service	phase4-soap
