# Phase 5g table-scoped write attribution.
#
# For every table in the reviewed attribution scope: the active callout
# columns declared on it, and every model validator the seed actually
# REGISTERS that subscribes to it.
#
# Registration is read from BOTH AD_ModelValidator rows and each client's
# AD_Client.ModelValidationClasses. Subscriptions are followed through the
# registered class's superclass chain, because the registered class is
# frequently not the subscribing class: AD_ModelValidator row 50000
# registers LiberoValidator, but the addDocValidate call lives in Libero.
#
# A `callout` row with hook_count 0 is a positive finding, not an absence of
# data: it is the claim that the table fires no callout.
#
# An unregistered validator is inert and is deliberately absent. Phase 5g
# scores what runs, not what could run.
#
# Generated by scripts/phase5/generate-phase5g-write-attribution.py from
# db/ddlutils/adempiere-data.xml and the reactor sources. Do not hand-edit.
ad_table_id	table_name	hook_kind	hook_count	hook	registration	resolved_from
0	-	dynamic-subscription	1	org.eevolution.model.LiberoValidator	Libero:addModelChange(mrpTableName)	-
259	C_Order	callout	5	Bill_BPartner_ID:org.compiere.model.CalloutOrder.bPartnerBill;C_BPartner_ID:org.compiere.model.CalloutOrder.bPartner;C_DocTypeTarget_ID:org.compiere.model.CalloutOrder.docType;DateOrdered:org.compiere.model.CalloutEngine.dateAcct; org.compiere.model.CalloutOrder.priceList;M_PriceList_ID:org.compiere.model.CalloutOrder.priceList	-	-
259	C_Order	model-validator	1	compiere.model.MyValidator	AD_Client.ModelValidationClasses:11:client=11:entitytype=-:entitytype_active=n/a	MyValidator=extend/src/compiere/model/MyValidator.java;ModelValidator=base/src/org/compiere/model/ModelValidator.java
259	C_Order	model-validator	1	org.eevolution.model.LiberoValidator	AD_ModelValidator:50000:client=0:entitytype=EE01:entitytype_active=Y	LiberoValidator=org.eevolution.manufacturing/src/main/java/base/org/eevolution/model/LiberoValidator.java;Libero=org.eevolution.manufacturing/src/main/java/base/org/eevolution/manufacturing/model/validator/Libero.java;ModelValidator=base/src/org/compiere/model/ModelValidator.java
260	C_OrderLine	callout	12	C_BPartner_Location_ID:org.compiere.model.CalloutOrder.tax;C_Charge_ID:org.compiere.model.CalloutOrder.charge;C_UOM_ID:org.compiere.model.CalloutOrder.qty; org.compiere.model.CalloutOrder.amt;Discount:org.compiere.model.CalloutOrder.amt;M_AttributeSetInstance_ID:org.compiere.model.CalloutOrder.qty;M_Product_ID:org.compiere.model.CalloutOrder.product;PriceActual:org.compiere.model.CalloutOrder.amt;PriceEntered:org.compiere.model.CalloutOrder.amt;PriceList:org.compiere.model.CalloutOrder.amt;QtyEntered:org.compiere.model.CalloutOrder.qty; org.compiere.model.CalloutOrder.amt;QtyOrdered:org.compiere.model.CalloutOrder.qty; org.compiere.model.CalloutOrder.amt;S_ResourceAssignment_ID:org.compiere.model.CalloutAssignment.product; org.compiere.model.CalloutOrder.amt; org.compiere.model.CalloutOrder.qty	-	-
291	C_BPartner	callout	0	-	-	-
293	C_BPartner_Location	callout	1	C_Location_ID:org.adempiere.model.CalloutBPartnerLocation.formatPhone	-	-
